,primaryMedia,primaryMaker,Title,Date,Classifications,Object number
14,,Marion Mahony Griffin,"Jenkins-Lewis-Dickinson House, Hollister, California",1906,Architecture & Design,1985.1.116
15,,Marion Mahony Griffin,"Eucalyptus Urnigera, Tasmania/Scarlet Bark, Sunset, Forest Portrait no. 11",December 1918,Drawing,1985.1.117
16,,Marion Mahony Griffin,"Henry Ford Dwelling, Dearborn, Michigan",1912,Architecture & Design,1985.1.118
17,,Marion Mahony Griffin,"Henry Ford Dwelling, Dearborn, Michigan",1912,Print,1985.1.119
18,,Walter Burley Griffin,"J.G. Melson Dwelling, Mason City, Iowa",1912,Drawing,1985.1.120
19,,"Christopher Weigel, the Elder","Portrait of Seibert, Count of Heisterbach",ca. 1700–25,Print,1985.2.3
20,,Max Klinger,Fantasie und Kunstlerkind,1881,Print,1985.2.7
21,,Unidentified artist,The Landing Dock,19th century,Print,1985.2.8
22,,Aegidius Sadeler II,Virgin and Child in a Landscape,ca. 1597,Print,1985.2.9
23,,Unidentified artist,River Bank with Buildings,Date unknown,Print,1985.2.10
24,,Ugo da Carpi,Sybil,1510/30,Print,1985.2.11
25,,Niccolò Vicentino,Hercules Strangling the Nemean Lion,ca. 1540,Print,1985.2.12
26,,Raphael,Deposition,ca. 1520,Print,1985.2.13
27,,Karl Mediz,Portrait of Robert Diez,Date unknown,Print,1985.2.14
28,,Arthur Kampf,Man in Top Hat and Fur,1920,Drawing,1985.2.15
29,,Marcantonio Raimondi,Massacre of the Innocents,ca. 1480–1530,Print,1985.2.16
30,,Hime Perzel,Figure Sitting on a Rock,Date unknown,Print,1985.2.17
31,,Ernst Moritz Geyger,"Der Riese, leaf 16 from Pan, Volume one, no. 2",1895,Print,1985.2.18
32,,Lodovico Carracci,Reclining Faun,Date unknown,Drawing,1985.2.19
33,,Heinrich Wolff,Portrait of a Doctor,Date unknown,Print,1985.2.20
34,,Arthur Kampf,Portrait of an Unknown Man,1898,Drawing,1985.2.21
35,,Max Klinger,A Lynching,Date unknown,Print,1985.2.22
36,,Frank Brangwyn,Blast Furnace,Date unknown,Print,1985.2.23
37,,Franz Naager,Ritter Im Gruenen,Date unknown,Print,1985.2.24
38,,"Unidentified artist, possibly Manuel Orazi",Nude and Tiger on a Flower Strewn Pavement,ca. 1885,Drawing,1985.2.25
39,,Paul Patschke,Uproar in Berlin,1909,Print,1985.2.26
40,,Otto Beyr,Circus Scene,Date unknown,Print,1985.2.27
41,,(Sir) William Rothenstein,Portrait of Walter Crane,Date unknown,Print,1985.2.28
42,,Johann Heinrich Vogeler,Sleeping Beauty,Date unknown,Print,1985.2.29
43,,Willi Geiger,Toreador and Bull,1907,Print,1985.2.30
44,,Max Liebermann,Portrait of a Bearded Man,Date unknown,Print,1985.2.31
45,,Joseph Pennell,Eingang Stärk Verboden,1910,Print,1985.2.33
46,,Oswald Achenbach,Landscape with Figure and Roman Ruins,1850,Print,1985.2.34
47,,Ulrich Hübner,Marine,Date unknown,Print,1985.2.35
48,,Unidentified artist,Woman Watching Sailboats,Date unknown,Print,1985.2.36
49,,Ludwig Heinrich Jugenickel,Roman Countryside,Date unknown,Print,1985.2.37
0,,Alexandre Lunois,Festival Illuminations,Date unknown,Print,1985.2.38
1,,Hippolyte Petitjean,Pan IV (Arcadia),1898/1900,Print,1985.2.39
2,,Jan Saenredam,Hymn of the Daughters of Israel to David,1600,Print,1985.2.40
3,,Albrecht Dürer,Apollo and Diana,1528,Print,1985.2.41
4,,Heinrich Aldegrever,St. Luke,1539,Print,1985.2.42
5,,Rembrandt van Rijn,Self-Portrait (etching at a window),1648,Print,1985.2.43
6,,Claes Pietersz Berchem,"Shepherd Piping, Seen from the Back",1644,Print,1985.2.44
7,,Matthäus Zasinger,Soldiers and Musicians,ca. 1500,Print,1985.2.46
8,,Emil Orlik,View of Edinburgh,ca. 1899,Print,1985.2.48
9,,C. Melage,Horse in Harness,Date unknown,Print,1985.2.49
10,,Wilhelm Leibl,Tyrolian Woman with Flat-top Hat (Inntalerin mit flachem Hut),Date unknown,Print,1985.2.50
11,,Ludwig Michalek,Portrait of Ebner Eschenbach,Date unknown,Print,1985.2.51
12,,Anton Mauve,Lambs in a Manger,Date unknown,Print,1985.2.52
13,,H. C. Kniger,Portrait of Jacob Burckhardt,Date unknown,Print,1985.2.53
14,,Freidrich Kallmorgen,Rainy Day on a Wharf,Date unknown,Print,1985.2.54
15,,(Sir) William Rothenstein,Portrait of Walter Crane,Date unknown,Print,1985.2.55
16,,Oswald Roux,Horses and Cart,Date unknown,Print,1985.2.56
17,,Carl Larsson,The Guardian Angel (Skyddsängeln),1898,Print,1985.2.57
18,,Adriaen van Ostade,Peasant Settling His Debt,1647–53,Print,1985.2.58
19,,Albrecht Altdorfer,Arion and Nereid,ca. 1520–26,Print,1985.2.59
20,,Georg Pencz,The Rich Man and the Devil,1554,Print,1985.2.60
21,,Jerome Hopfer,St. Jerome in the Wilderness,1683,Print,1985.2.61
22,,Andreas Achenbach,Logging Camp,1862,Print,1985.2.62
23,,Jean Jacques de Boisseau,Man Giving Alms to an Old Woman,1780,Print,1985.2.63
24,,Andreas Achenbach,Dutch Landscape with Woman and Cow,1862,Print,1985.2.64
25,,Albert Baertsoen,Le Vieux Pont,ca. 1900–20,Print,1985.2.65
26,,Hans Olde,Portrait of Klaus Groth,Date unknown,Print,1985.2.66
27,,Ernst Moritz Geyger,Die Klugheit Beleuchtet die Gemeinheit,1899,Print,1985.2.67
28,"Image Not Available for The Noble Art Historian, a Popular Honey Flea",Marcotino,"The Noble Art Historian, a Popular Honey Flea",1909,Print,1985.2.68
29,,Albert Reich,Rest,Date unknown,Print,1985.2.69
30,,M. Pretzfelder,"Landscape with Windmill, Sails and Farm Cart",19th century,Print,1985.2.70
31,,Johann Elias Ridinger,Hunter with Four Hounds,1720/67,Print,1985.2.71
32,,Reinhard Pfaehler von Othegraven,Peasant Woman Carrying Sticks,1911,Print,1985.2.72
33,,Andreas Achenbach,Mill Beside a Stream,ca. 1850–90,Print,1985.2.73
34,,Maurice Denis,Mother and Child,Date unknown,Print,1985.2.74
35,,Frédéric Bouchot,Mont de Biete,19th century,Print,1985.2.75
36,,Félicien Rops,Le Pendu,19th century,Print,1985.2.76
37,,Paul Gavarni,(Air: Larifla!...) - Nos femm'sont cou-cou!,1847,Print,1985.2.77
38,,August Brouet,Le Savatier,Date unknown,Print,1985.2.78
39,,August Brouet,Sailor's Home,Date unknown,Print,1985.2.79
40,,Jules Bastien-Lepage,Season of October: The Potato Gatherers,ca. 1878,Print,1985.2.80
41,,Oskar Graf,Landscape,Date unknown,Print,1985.2.81
42,,Francis Dodd,At the Fireside,Date unknown,Print,1985.2.82
43,,G. W. Bergfeld,Horse,1908,Print,1985.2.83
44,,Hippolyte Petitjean,Seated Man,1898,Print,1985.2.84
45,,Reinhold Hoberg,Proprietor's Garden,Date unknown,Print,1985.2.85
46,,Paul César Helleu,A Woman Leaning on Her Elbow,Date unknown,Print,1985.2.86
47,,Hans Am Ende,Portrait of a Girl,1897,Print,1985.2.87
48,,Otto Eckmann,Irises,Date unknown,Print,1985.2.88
49,,G. W. Bergfeld,Two Penguins,1908,Print,1985.2.90
0,,G. W. Bergfeld,Three Bears,1908,Print,1985.2.91
1,,G. W. Bergfeld,Three Bears,1908,Print,1985.2.92
2,,Hermann Huber,Four Boys at a Dike,Date unknown,Print,1985.2.93
3,,Ulrich Hübner,All the Sailboats,Date unknown,Print,1985.2.94
4,,Adam von Bartsch,Landscape,1803,Print,1985.2.95
5,,Frank Brangwyn,Fishmonger's Hall,1904,Print,1985.2.96
6,,Francis Dodd,Portrait of Warfred Green,1911,Print,1985.2.97
7,,Frank Brangwyn,"The Skin Scrapers, No. 1",1904/34,Print,1985.2.98
8,,Sebald Beham,Peasant Couple Dancing,1522,Print,1985.2.99
9,,Albrecht Altdorfer,St. Sebastian Bound to a Column,1515,Print,1985.2.100
10,,Hans von Kulmbach,Landscape,1778,Print,1985.2.101
11,,Maria Katharina Prestel,Venus Bathing,1780,Print,1985.2.102
12,,Philipp Andreas Kilian,Portrait of George Heerburger,Date unknown,Print,1985.2.103
13,,Sebastian Furck,Maria Juliana Bauer von Eiseneck,1629,Print,1985.2.104
14,,Pieter de Jode I,The Hymn of the Daughters of Israel to David,ca. 1600/25,Print,1985.2.105
15,,Barthel Beham,Genius Flying Above a Landscape,1520,Print,1985.2.106
16,,Georg Pencz,Thetis and Cheiron,1543,Print,1985.2.107
17,,Georg Pencz,Salomé with Head of John the Baptist,Date unknown,Print,1985.2.108
18,,Albrecht Altdorfer,The Revenge of the Sorcerer Virgil,ca. 1520–26,Print,1985.2.109
19,,Master of the Die,Apollo and Marsyas,1530s,Print,1985.2.110
20,,Georg Pencz,Medea,1539,Print,1985.2.111
21,,Georg Pencz,Samson and Delilah,Date unknown,Print,1985.2.112
22,,Georg Pencz,Joseph in the Well,1546,Print,1985.2.113
23,,Frans Crabbe van Espleghem,The Rich Man and Lazarus,1546,Print,1985.2.114
